id,asunto,cuerpo,es_spam
1,Resumen de cuenta mensual,Estás invitado a nuestro evento de networking el próximo viernes...,0
2,Consulta de seguimiento,Te recordamos que tienes una cita médica programada para el martes...,0
3,Informe semanal de desempeño,Aquí tienes el informe semanal de desempeño del equipo...,0
4,Informe semanal de desempeño,Te recordamos que tienes una cita médica programada para el martes...,0
5,Consulta de seguimiento,"A continuación, te enviamos el resumen de tu cuenta mensual...",0
6,Confirmación de tu pedido,Adjunto encontrarás la consulta de seguimiento que solicitaste...,0
7,Informe semanal de desempeño,Gracias por tu compra. Tu pedido será enviado en las próximas 48 horas.,0
8,Consulta de seguimiento,Estás invitado a nuestro evento de networking el próximo viernes...,0
9,Consulta de seguimiento,"Por favor, revisa la actualización de nuestra política de privacidad...",0
10,Actualización de política de privacidad,Aquí tienes el informe semanal de desempeño del equipo...,0
11,Informe semanal de desempeño,"Por favor, revisa la actualización de nuestra política de privacidad...",0
12,Invitación a evento,Aquí tienes el informe semanal de desempeño del equipo...,0
13,Información importante sobre tu seguro,Adjunto encontrarás la consulta de seguimiento que solicitaste...,0
14,Recordatorio de cita médica,"A continuación, te enviamos el resumen de tu cuenta mensual...",0
15,Consulta de seguimiento,Estás invitado a nuestro evento de networking el próximo viernes...,0
16,Confirmación de tu pedido,Estos son los detalles de tu reserva para el evento del sábado...,0
17,Detalles de tu reserva,"A continuación, te enviamos el resumen de tu cuenta mensual...",0
18,Informe semanal de desempeño,"Por favor, revisa la actualización de nuestra política de privacidad...",0
19,Detalles de tu reserva,Te recordamos que tienes una cita médica programada para el martes...,0
20,Informe semanal de desempeño,Estos son los detalles de tu reserva para el evento del sábado...,0
21,Consulta de seguimiento,Estos son los detalles de tu reserva para el evento del sábado...,0
22,Informe semanal de desempeño,"Estimado cliente, revisa la nueva póliza de seguro que hemos actualizado...",0
23,Actualización de política de privacidad,Adjunto encontrarás la consulta de seguimiento que solicitaste...,0
24,Información importante sobre tu seguro,Estás invitado a nuestro evento de networking el próximo viernes...,0
25,Invitación a evento,Estos son los detalles de tu reserva para el evento del sábado...,0
26,Confirmación de tu pedido,"Por favor, revisa la actualización de nuestra política de privacidad...",0
27,Resumen de cuenta mensual,Estás invitado a nuestro evento de networking el próximo viernes...,0
28,Consulta de seguimiento,Estás invitado a nuestro evento de networking el próximo viernes...,0
29,Actualización de política de privacidad,Aquí tienes el informe semanal de desempeño del equipo...,0
30,Consulta de seguimiento,"Por favor, revisa la actualización de nuestra política de privacidad...",0
31,Invitación a evento,Aquí tienes el informe semanal de desempeño del equipo...,0
32,Informe semanal de desempeño,"Hola, te confirmo que la reunión será el próximo lunes...",0
33,Actualización de política de privacidad,Aquí tienes el informe semanal de desempeño del equipo...,0
34,Detalles de tu reserva,"Por favor, revisa la actualización de nuestra política de privacidad...",0
35,Reunión de trabajo,"Estimado cliente, revisa la nueva póliza de seguro que hemos actualizado...",0
36,Invitación a evento,Te recordamos que tienes una cita médica programada para el martes...,0
37,Invitación a evento,Gracias por tu compra. Tu pedido será enviado en las próximas 48 horas.,0
38,Información importante sobre tu seguro,Aquí tienes el informe semanal de desempeño del equipo...,0
39,Información importante sobre tu seguro,"Hola, te confirmo que la reunión será el próximo lunes...",0
40,Consulta de seguimiento,Estás invitado a nuestro evento de networking el próximo viernes...,0
41,Consulta de seguimiento,Gracias por tu compra. Tu pedido será enviado en las próximas 48 horas.,0
42,Consulta de seguimiento,"A continuación, te enviamos el resumen de tu cuenta mensual...",0
43,Confirmación de tu pedido,Te recordamos que tienes una cita médica programada para el martes...,0
44,Reunión de trabajo,Te recordamos que tienes una cita médica programada para el martes...,0
45,Resumen de cuenta mensual,Te recordamos que tienes una cita médica programada para el martes...,0
46,Informe semanal de desempeño,Te recordamos que tienes una cita médica programada para el martes...,0
47,Detalles de tu reserva,Estás invitado a nuestro evento de networking el próximo viernes...,0
48,Actualización de política de privacidad,"Estimado cliente, revisa la nueva póliza de seguro que hemos actualizado...",0
49,Resumen de cuenta mensual,"Hola, te confirmo que la reunión será el próximo lunes...",0
50,Detalles de tu reserva,"Hola, te confirmo que la reunión será el próximo lunes...",0
51,Resumen de cuenta mensual,Estás invitado a nuestro evento de networking el próximo viernes...,0
