Link_Malicioso,Dominio,Malicioso
http://safe-link.co/407696db-15e9-4e65-8950-c9eb8501f7d3,safe-link.co,0
http://safe-link.co/339ace36-8c8f-4ea9-86bb-ac9cfa19c855,safe-link.co,0
http://safe-link.co/5d7fdfae-0b9b-434c-a7d4-6e81f33bacde,safe-link.co,0
http://dangerous-link.co/e8511add-a04a-48f2-829b-ed26dbbd6536,dangerous-link.co,1
http://dangerous-link.co/c0d7aabc-af7d-4c32-a392-125b5d241d4b,dangerous-link.co,1
http://safe-link.co/4edd5b2e-fdf4-4ed8-9891-d10795622751,safe-link.co,0
http://safe-link.co/3ffc0eb1-b09c-4e0b-9658-d90fbbd08033,safe-link.co,0
http://dangerous-link.co/f149a82c-737e-4325-8b11-ffd8722708be,dangerous-link.co,1
http://safe-link.co/f4ce410f-44ef-4f7c-9366-0312247097c4,safe-link.co,0
http://safe-link.co/9df7b92e-c72d-4055-8b58-e2fa5cd4edeb,safe-link.co,0
http://safe-link.co/9f8d3e67-4375-4f4d-b1a9-a214e2a8b98c,safe-link.co,0
http://dangerous-link.co/52bd5782-ae5d-415f-9b84-34db95e570d0,dangerous-link.co,1
http://dangerous-link.co/3bcef00b-06ab-49d4-b867-ca4d48d9a947,dangerous-link.co,1
http://dangerous-link.co/7556855d-f189-4a70-8b95-3d51f317fab5,dangerous-link.co,1
http://dangerous-link.co/089e1797-a8e7-4d7e-8f5e-33b4090a7a72,dangerous-link.co,1
http://safe-link.co/f6df36b6-f237-4672-840e-7ed0cb7f58b6,safe-link.co,0
http://dangerous-link.co/e4f44787-b983-495b-b5f5-c6da3dcfe7a2,dangerous-link.co,1
http://dangerous-link.co/b8963343-28f6-48d0-aaba-84154817f6ca,dangerous-link.co,1
http://safe-link.co/6ea016de-986e-4f95-a092-d905fd55ad07,safe-link.co,0
http://dangerous-link.co/40c255d5-4bfb-491a-a337-acc5a94e4a49,dangerous-link.co,1
http://dangerous-link.co/51894d9b-b59f-45ab-b14e-e0d1007e35aa,dangerous-link.co,1
http://safe-link.co/bf4ce5d5-0da7-4f3c-8ecd-6e52b6e204d8,safe-link.co,0
http://safe-link.co/bb931566-c59b-4f97-855e-4a340a48e0ae,safe-link.co,0
http://safe-link.co/accc1db0-76d6-4f0a-b1ef-98f45ce2a782,safe-link.co,0
